"journal","year","month","class","type","URL","subject","first_author"
"journal of animal science",2017,11,"feeds","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/4880"," Concentration of digestible and metabolizable energy, standardized ileal digestibility, and growth performance of pigs fed diets containing sorghum produced in the United States or corn produced in China","L.Pana"
"journal of animal science",2017,11,"monogastric","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/5030"," Evaluation of a bioprocessed soybean meal on nursery pig performance and immune status","J.R.Koepke"
"journal of animal science",2017,11,"monogastric","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/5040"," Effects of dietary supplementation of the osmolyte betaine on growing pig performance and serological and hematological indices during thermoneutral and heat-stressed conditions","S.M.Mendoza"
"journal of animal science",2017,11,"monogastric","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/5054"," Viscous and fermentable nonstarch polysaccharides affect intestinal nutrient and energy flow and hindgut fermentation in growing pigs","L.Chena"
"journal of animal science",2017,11,"monogastric","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/5064"," Dietary supplemented antimicrobial peptide microcin J25 improves the growth performance, apparent total tract digestibility, fecal microbiota, and intestinal barrier function of weaned pigs","H.T.Yu"
"journal of animal science",2017,11,"monogastric","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/5077"," Influence of short-term dietary starch inclusion on the equine cecal microbiome","C.M.Warzecha"
"journal of animal science",2017,11,"monogastric","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/5091"," Effects of feeding sodium stearoyl-2-lactylate diets to lactating sows on performance, digestibility of nutrients, composition, and fat globule size in milk","C.Q.Wanga"
"journal of animal science",2017,11,"ruminant","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/5112"," The effect of nitrate and monensin on in vitro ruminal fermentation","M.Capelari"
"journal of animal science",2017,11,"ruminant","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/5124"," Effects of tannic acid on growth performance, carcass characteristics, digestibility, nitrogen volatilization, and meat lipid oxidation of steers fed steam-flaked corn<U+2013>based finishing diets","M.C.Tabkea"
"journal of animal science",2017,11,"ruminant","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/5137"," Influence of limit-feeding and time of day of feed availability to growing calves on growth performance and feeding behavior in cold weather","L.D.Prezotto"
"journal of animal science",2017,11,"technology","original article","https://www.animalsciencepublications.org/publications/jas/articles/95/11/5145"," Determination of maternal pedigree and ewe<U+2013>lamb spatial relationships by application of Bluetooth technology in extensive farming systems","R.Sohi"
