journal	year	month	class	type	URL	subject	first_author	google_translate
journal of animal science	2018	1	monogastric	original article	https://academic.oup.com/jas/article/96/1/98/4844089	Artificial light and biological responses of broiler chickens: dose-response 	YefengYang	À°°èÀÇ ÀÎ°ø ºû°ú »ı¹°ÇĞÀû ¹İÀÀ : ¿ë·® - ¹İÀÀ
journal of animal science	2018	1	monogastric	original article	https://academic.oup.com/jas/article/96/1/168/4844098	"Effects of withdrawing high-fiber ingredients before marketing on finishing pig growth performance, carcass characteristics, and intestinal weights "	KyleFCoble	"µÅÁö ¼ºÀå ¼º´É, µµÃ¼ Æ¯¼º ¸¶¹«¸®¿¡ ¸¶ÄÉÆÃÇÏ±â Àü¿¡ ³ôÀº ¼¶À¯ ¼ººĞÀ» Ã¶È¸ÀÇ È¿°ú ¹× Àå ¹«°Ô"
journal of animal science	2018	1	monogastric	original article	https://academic.oup.com/jas/article/96/1/181/4827713	Effects of mono-component xylanase supplementation on nutrient digestibility and performance of lactating sows fed a coarsely ground diet 	PanZhou	¿µ¾ç¼Ò ¼ÒÈ­¼º ¹× ¾ç¸ğ ¾ÏÅïÁö ¼º´É ´ÜÀÏ ¼ººĞ ÀÚÀÏ¶ó³ª º¸ÃæÁ¦ÀÇ È¿°ú´Â ´ë·«ÀûÀ¸·Î Á¢Áö½ÄÀÌ¸¦ °ø±Ş
journal of animal science	2018	1	monogastric	original article	https://academic.oup.com/jas/article/96/1/194/4827625	Influence of differently processed yeast (Kluyveromyces fragilis) on feed intake and gut physiology in weaned pigs 	BKeimer	ÀÌÀ¯ÀÚµ· ÇÇµå ¼·Ãë·® ¼ÒÈ­°ü »ı¸® ´Ù¸£°Ô Ã³¸® È¿¸ğÀÇ ¿µÇâ (Å¬·ç º£¶ó ¸¶ÀÌ ¼¼½º fragilis)
journal of animal science	2018	1	monogastric	original article	https://academic.oup.com/jas/article/96/1/206/4824921	Effects of supplementing sow diets with fermented corn and soybean meal mixed feed during lactation on the performance of sows and progeny 	CWang	¸ğµ·°ú ÀÚ¼ÕÀÇ ¼º´É¿¡ ¼öÀ¯ÇÏ´Â µ¿¾È ¹ßÈ¿ ¿Á¼ö¼ö¿Í Äá ½Ä»ç È¥ÇÕ »ç·á¿Í ¸ğµ· »ç·á¸¦ º¸¿ÏÀÇ È¿°ú
journal of animal science	2018	1	monogastric	original article	https://academic.oup.com/jas/article/96/1/215/4844080	Nutrient composition and digestibility of energy and nutrients in wheat middlings and red dog fed to growing pigs 	GACasas	¿µ¾ç ¼ººĞ°ú ¹Ğ µÕÇ°¿Í »¡°£ °³ ¿¡³ÊÁö¿Í ¿µ¾ç¼ÒÀÇ ¼ÒÈ­À²ÀÌ Áõ°¡ µÅÁö¿¡ °ø±Ş
journal of animal science	2018	1	monogastric	original article	https://academic.oup.com/jas/article/96/1/225/4824872	"Dietary tea polyphenol supplementation improved egg production performance, albumen quality, and magnum morphology of Hy-Line Brown hens during the late laying period "	Xiao-cuiWang	"ÈÄ¹İ ´©¿ö ±â°£ µ¿¾È½ÄÀÌ Â÷ Æú¸® Æä³î º¸¿Ï °³¼± °è¶õ »ı»ê ¼º´É, ¾ËºÎ¹Î Ç°Áú, ¼û¹Ù²ÀÁú ¶óÀÎ ºê¶ó¿î ¾ÏÅ¼ÀÇ ¸Å±×³Ñ ÇüÅÂ"
journal of animal science	2018	1	ruminant	original article	https://academic.oup.com/jas/article/96/1/273/4827718	Effects of gradual reduction in frequency of energy supplementation on growth and immunity of beef steers 	GleiseMSilva	¼è°í±â ¼ö¼Û¾ÆÁöÀÇ ¼ºÀå ¹× ³»¼º¿¡ ¿¡³ÊÁö º¸±ŞÀÇ ºóµµ Á¡ÁøÀûÀÎ °¨¼Ò È¿°ú
journal of animal science	2018	1	ruminant	original article	https://academic.oup.com/jas/article/96/1/284/4827785	"Effects of adding mannan oligosaccharides on digestibility and metabolism of nutrients, ruminal fermentation parameters, immunity, and antioxidant capacity of sheep "	ChenZheng	"¿µ¾ç¼Ò ¼ÒÈ­¼º, ¹İÃßÀ§ ¹ßÈ¿ ¸Å°³ ¸é¿ª ´ë»ç¿¡ ¸¸³­ ¿Ã¸®°í´çÀÇ Ã·°¡ È¿°ú, ¹× ¾çÀÇ Ç×»êÈ­ Á¦ ¿ë·®"
journal of animal science	2018	1	ruminant	original article	https://academic.oup.com/jas/article/96/1/293/4827629	Dietary supplements during the cold season increase rumen microbial abundance and improve rumen epithelium development in Tibetan sheep 	XiaoPingJing	Ãß¿î °èÀı Áõ°¡ÇÏ´Â µ¿¾È½ÄÀÌ º¸Á¶ ½ÄÇ°Àº ¹Ì»ı¹° Ç³ºÎ ¹İÃßÀ§ Æ¼ºª ¾çÀÇ ¹İÃßÀ§ »óÇÇ °³¹ßÀ» Çâ»ó
journal of animal science	2018	1	ruminant	original article	https://academic.oup.com/jas/article/96/1/306/4844085	Effects of different starch source of starter on small intestinal growth and endogenous GLP-2 secretion in preweaned lambs 	DamingSun	preweaned ¾çÀÇ ¼ÒÀå ¼ºÀå ³»ÀÎ¼º GLP-2 ºĞºñ ½ºÅ¸ÅÍ ´Ù¸¥ ÀüºĞ ¼Ò½ºÀÇ È¿°ú
journal of animal science	2018	1	ruminant	original article	https://academic.oup.com/jas/article/96/1/318/4825262	Effects of timing of vaccination relative to weaning and post-weaning frequency of energy supplementation on growth and immunity of beef calves 	GleiseMSilva	¼Ò ¼Û¾ÆÁöÀÇ ¼ºÀå ¹× ³»¼º¿¡ ¿¡³ÊÁö º¸±ŞÀÇ ºóµµ ÀÌÀ¯ ÀüÈÄ ÀÌÀ¯¿¡ Á¢Á¾ »ó´ëÀûÀÎ Å¸ÀÌ¹ÖÀÇ ¿µÇâ
journal of animal science	2018	1	ruminant	original article	https://academic.oup.com/jas/article/96/1/331/4825179	"Responses of body fat mobilization to isoproterenol or epinephrine challenge in adult cows: influence of energy level, breed, and body fatness "	AFerlay	"¼ºÀÎ ¼Ò¿¡¼­ ÀÌ¼ÒÀÌ³ª ¿¡ÇÇ³×ÇÁ¸° µµÀü Ã¼Áö¹æ µ¿¿øÀÇ ÀÀ´ä : ¿¡³ÊÁö ·¹º§, Ç°Á¾ÀÇ ¿µÇâ ¹× Ã¼Áö¹æ"
journal of animal science	2018	1	ruminant	original article	https://academic.oup.com/jas/article/96/1/343/4818648	"Effects of high condensed-tannin substrate, prior dietary tannin exposure, antimicrobial inclusion, and animal species on fermentation parameters following a 48 h in vitro incubation "	ANHoehn	"½ÃÇè °ü³» ¹è¾ç¿¡¼­ 48 ½Ã°£ ¹ßÈ¿ ´ÙÀ½ ÆÄ¶ó¹ÌÅÍ ³ôÀº ÃàÇÕ Çü Å¸´Ñ ±âÆÇ Àü¿¡½ÄÀÌ Åº´Ñ ³ëÃâ Ç×±Õ Æ÷ÇÔÇÏ°í, µ¿¹° Á¾ÀÇ ¿µÇâ"
journal of animal science	2018	1	ruminant	original article	https://academic.oup.com/jas/article/96/1/354/4818673	"Effects of supplementation with vegetable oils, including castor oil, on milk production of ewes and on growth of their lambs "	MichelledeOliveiraMaia	"¾Ï¾çÀÇ ¿ìÀ¯ »ı»ê¿¡ ±×µéÀÇ ¾çÀÇ ¼ºÀå¿¡ ÇÇ¸¶ ÀÚÀ¯¸¦ Æ÷ÇÔÇÏ¿© ½Ä¹°¼º ¿ÀÀÏ°ú º¸ÃæÀÇ È¿°ú,"
journal of animal science	2018	1	ruminant	original article	https://academic.oup.com/jas/article/96/1/364/4818649	Prepartum fatty acid supplementation in sheep I. Eicosapentaenoic and docosahexaenoic acid supplementation do not modify ewe and lamb metabolic status and performance through weaning 	DNColeman	¾ç I. ÄÚ»ç ÆæÅ¸ ¿£°ú µµÄÚ »ç Çí»ç ¿£ »ê º¸Ãæ¿¡ Prepartum Áö¹æ»ê º¸ÃæÁ¦´Â ÀÌÀ¯¸¦ ÅëÇØ ¿¡¿ş¾î ¾ç°í±â ½ÅÁø ´ë»ç »óÅÂ ¹× ¼º´ÉÀ» ¼öÁ¤ÇÏÁö ¸¶½Ê½Ã¿À
journal of animal science	2018	2	monogastric	original article	https://academic.oup.com/jas/article/96/2/545/4828053	Influence of feeding thermally peroxidized soybean oil on oxidative status in growing pigs 	SCLindblom	¸ÔÀÌÀÇ ¿µÇâÀº ¿­ ¼ºÀå µÅÁöÀÇ »êÈ­ »óÅÂ¿¡ Äá±â¸§À» °ú»êÈ­
journal of animal science	2018	2	monogastric	original article	https://academic.oup.com/jas/article/96/2/558/4828104	"Influence of feeding thermally peroxidized soybean oil on growth performance, digestibility, and gut integrity in growing pigs "	StephanieCLindblom	"¸ÔÀÌÀÇ ¿µÇâÀº ¿­ ¼ºÀå µÅÁöÀÇ ¼ºÀå ¼º´É, ¼ÒÈ­ ¹× Àå ¹«°á¼º¿¡ Äá±â¸§À» °ú»êÈ­"
