"journal","year","month","class","type","URL","subject","first_author"
"journal of animal science",2018,4,"monogastric","original article","https://academic.oup.com/jas/article/96/4/1330/4970682","Effect of supplemental yeast cell walls on growth performance, gut mucosal glutathione pathway, proteolytic enzymes and transporters in growing broiler chickens ","NingLiu"
"journal of animal science",2018,4,"monogastric","original article","https://academic.oup.com/jas/article/96/4/1338/4877106","Chemical composition, energy, and amino acid digestibility in 7 cottonseed co-products fed to growing pigs ","DLMa"
"journal of animal science",2018,4,"ruminant","original article","https://academic.oup.com/jas/article/96/4/1350/4924839","Meta-analysis of endophyte-infected tall fescue effects on cattle growth rates ","DouglasMLiebe"
"journal of animal science",2018,4,"ruminant","original article","https://academic.oup.com/jas/article/96/4/1362/4868597","Enteric methane production and ruminal fermentation of forage brassica diets fed in continuous culture ","SandraLeanneDillard"
"journal of animal science",2018,4,"monogastric","original article","https://academic.oup.com/jas/article/96/4/1419/4868607","Increased dietary protein or free amino acids supply for heat stress pigs: effect on performance and carcass traits ","AMorales"
"journal of animal science",2018,4,"monogastric","original article","https://academic.oup.com/jas/article/96/4/1430/4908682","Tail-end dehulling of canola meal improves apparent and standardized total tract digestibility of phosphorus when fed to growing pigs ","GustavoAMejicanos"
"journal of animal science",2018,4,"monogastric","original article","https://academic.oup.com/jas/article/96/4/1441/4907944","Net energy content of canola meal fed to growing pigs and effect of experimental methodology on energy values ","JWKim"
"journal of animal science",2018,4,"ruminant","original article","https://academic.oup.com/jas/article/96/4/1474/4870023","Effects of dietary energy level and intake of corn by-product-based diets on newly received growing cattle: antibody production, acute phase protein response, stress, and immunocompetency of healthy and morbid animals ","TylerJSpore"
"journal of animal science",2018,4,"ruminant","original article","https://academic.oup.com/jas/article/96/4/1484/4877031","Influence of distiller’s dried grains with solubles on ram lamb growth and reproductive traits ","AlisonRCrane"
"journal of animal science",2018,4,"ruminant","original article","https://academic.oup.com/jas/article/96/4/1495/4871917","Liver transcriptomic and plasma metabolomic profiles of fattening lambs are modified by feed restriction during the suckling period ","AlbaSantos"
"journal of animal science",2018,4,"ruminant","original article","https://academic.oup.com/jas/article/96/4/1508/4868578","Effect of lemon leaves on energy and C–N balances, methane emission, and milk performance in Murciano-Granadina dairy goats ","CarlosFernández"
"journal of animal science",2018,4,"general","original article","https://academic.oup.com/jas/article/96/4/1531/4970664","BIG DATA ANALYTICS AND PRECISION ANIMAL AGRICULTURE SYMPOSIUM: Data to decisions ","BJWhite"
"journal of animal science",2018,4,"general","original article","https://academic.oup.com/jas/article/96/4/1540/4828311","BIG DATA ANALYTICS AND PRECISION ANIMAL AGRICULTURE SYMPOSIUM: Machine learning and data mining advance predictive big data analysis in precision animal agriculture ","GotaMorota"
"journal of animal science",2018,4,"general","original article","https://academic.oup.com/jas/article/96/4/1551/4925439","The essence of appetite: does olfactory receptor variation play a role? ","ErinEConnor"
"journal of dairy science",2018,4,"ruminant","review","https://www.sciencedirect.com/science/article/pii/S0022030218300614","Invited review: Mineral absorption mechanisms, mineral interactions that affect acid–base and antioxidant status, and diet considerations to improve mineral status","JesseP.Goff"
"journal of dairy science",2018,4,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030218300961","Effect of adding clay with or without a Saccharomyces cerevisiae fermentation product on the health and performance of lactating dairy cows challenged with dietary aflatoxin B1","Y.Jiang"
"journal of dairy science",2018,4,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030218300936","Effect of dietary fish oil supplements alone or in combination with sunflower and linseed oil on ruminal lipid metabolism and bacterial populations in lactating cows","P.Kairenius"
"journal of dairy science",2018,4,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030218300596","Effects of feeding hulled and hull-less barley with low- and high-forage diets on lactation performance, nutrient digestibility, and milk fatty acid composition of lactating dairy cows","Y.Yang"
"journal of dairy science",2018,4,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030218300560","Long-term palmitic acid supplementation interacts with parity in lactating dairy cows: Production responses, nutrient digestibility, and energy partitioning","J.deSouza"
"journal of dairy science",2018,4,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030218300511","Bacterial and fungal communities, fermentation, and aerobic stability of conventional hybrids and brown midrib hybrids ensiled at low moisture with or without a homo- and heterofermentative inoculant","J.J.Romero"
"journal of dairy science",2018,4,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030218301061","Temporal effects of ruminal propionic acid infusion on feeding behavior of Holstein cows in the postpartum period","GabrielaMaldini"
"journal of dairy science",2018,4,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030218300845","Graded substitution of grains with bakery by-products modulates ruminal fermentation, nutrient degradation, and microbial community composition in vitro","E.Humer"
"journal of dairy science",2018,4,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030218300651","Effect of delaying colostrum feeding on passive transfer and intestinal bacterial colonization in neonatal male Holstein calves","A.J.Fischer"
"journal of dairy science",2018,4,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030218300687","Short communication: Comparison of a palmitic acid-enriched triglyceride supplement and calcium salts of palm fatty acids supplement on production responses of dairy cows","J.deSouza"
"journal of dairy science",2018,4,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030218301024","Short communication: Field study to investigate the associations between herd-level risk factors for milk fat depression and bulk tank milk fat percent in dairy herds feeding monensin","M.M.McCarthy"
"AJAS",2018,4,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23845","Effects of aflatoxin B1 combined with ochratoxin A and/or zearalenone on metabolism, immune function, and antioxidant status in lactating dairy goats","ShuaiHuang"
"AJAS",2018,4,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23835","Effects of crude glycerin from waste vegetable oil in diets on performance and carcass characteristics of feedlot goats","PinChanjula"
"AJAS",2018,4,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23795","Growth rate, carcass characteristics and meat quality of growing lambs fed buckwheat or maize silage","GurhanKeles"
"AJAS",2018,4,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23829","Carcass characteristics of lambs fed spineless cactus as a replacement for sugarcane","JulianaPaulaFelipedeOliveira"
"AJAS",2018,4,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23926","Hepatic transcriptional changes in critical genes for gluconeogenesis following castration of bulls","DillaMareistiaFassah"
"AJAS",2018,4,"monogastric","original article","https://www.ajas.info/journal/view.php?number=23874","The effect of dietary asparagine supplementation on energy metabolism in liver of weaning pigs when challenged with lipopolysaccharide","PingKang"
"AJAS",2018,4,"monogastric","original article","https://www.ajas.info/journal/view.php?number=23842","Effects of dietary Spirulina on antioxidant status, lipid profile, immune response and performance characteristics of broiler chickens reared under high ambient temperature","SaraMirzaie"
"AJAS",2018,4,"monogastric","original article","https://www.ajas.info/journal/view.php?number=23919","Effects of dietary Î²-mannanase supplementation on the additivity of true metabolizable energy values for broiler diets","ByungBoLee"
