"journal","year","month","class","type","URL","subject","first_author"
"journal of animal science",2018,2,"monogastric","original article","https://academic.oup.com/jas/article/96/2/545/4828053","Influence of feeding thermally peroxidized soybean oil on oxidative status in growing pigs
                ","SCLindblom"
"journal of animal science",2018,2,"monogastric","original article","https://academic.oup.com/jas/article/96/2/558/4828104","Influence of feeding thermally peroxidized soybean oil on growth performance, digestibility, and gut integrity in growing pigs
                ","StephanieCLindblom"
"journal of animal science",2018,2,"monogastric","original article","https://academic.oup.com/jas/article/96/2/570/4828152","Effect of high doses of Natuphos E 5,000 G phytase on growth performance of nursery pigs
                ","KiahMGourley"
"journal of animal science",2018,2,"monogastric","original article","https://academic.oup.com/jas/article/96/2/579/4827968","Evaluation of conjugated linoleic acid supplementation on markers of joint inflammation and cartilage metabolism in young horses challenged with lipopolysaccharide
                ","AmandaNBradbery"
"journal of animal science",2018,2,"monogastric","original article","https://academic.oup.com/jas/article/96/2/591/4833885","Standardized ileal digestible valine:lysine dose response effects in 25- to 45-kg pigs under commercial conditions
                ","MarcioADGoncalves"
"journal of animal science",2018,2,"monogastric","original article","https://academic.oup.com/jas/article/96/2/600/4827736","Feed preference of weaned pigs fed diets containing soybean meal, Brassica napus canola meal, or Brassica juncea canola meal
                ","JoseLLandero"
"journal of animal science",2018,2,"ruminant","original article","https://academic.oup.com/jas/article/96/2/653/4829573","Energy costs of feeding excess protein from corn-based by-products to finishing cattle
                ","JennySJennings"
"journal of animal science",2018,2,"ruminant","original article","https://academic.oup.com/jas/article/96/2/670/4829313","Dietary protein reduction on microbial protein, amino acid digestibility, and body retention in beef cattle: 2. Amino acid intestinal absorption and their efficiency for whole-body deposition
                ","LDSMariz"
"journal of animal science",2018,2,"ruminant","original article","https://academic.oup.com/jas/article/96/2/684/4828210","Effects of a live yeast in natural-program finishing feedlot diets on growth performance, digestibility, carcass characteristics, and feeding behavior
                ","LaurenAOvinge"
"journal of animal science",2018,2,"ruminant","original article","https://academic.oup.com/jas/article/96/2/694/4828034","Test of conditions that affect in vitro production of volatile fatty acids and gases
                ","LMJudd"
"journal of animal science",2018,2,"ruminant","original article","https://academic.oup.com/jas/article/96/2/705/4828072","Nutritional evaluation and ruminal fermentation patterns of kochia compared with alfalfa and orchardgrass hays and ephedra and cheatgrass compared with orchardgrass hay as alternative arid-land forages for beef cattle in two dual-flow continuous culture system experiments
                ","LorraynyGalorodaSilva"
"journal of animal science",2018,2,"ruminant","original article","https://academic.oup.com/jas/article/96/2/715/4828030","Forms of selenium in vitamin-mineral mixes differentially affect serum prolactin concentration and hepatic glutamine synthetase activity of steers grazing endophyte-infected tall fescue
                ","YangJia"
"journal of animal science",2018,2,"monogastric","review","https://academic.oup.com/jas/article/96/2/728/4834025","Preslaughter handling practices and their effects on animal welfare and pork quality
                ","LuigiFaucitano"
"journal of animal science",2018,2,"ruminant","review","https://academic.oup.com/jas/article/96/2/739/4827744","RUMINANT NUTRITION SYMPOSIUM: Effects of postruminal flows of protein and amino acids on small intestinal starch digestion in beef cattle
                ","DWBrake"
"journal of animal science",2018,2,"ruminant","review","https://academic.oup.com/jas/article/96/2/751/4828173","RUMINANT NUTRITION SYMPOSIUM: Improving the efficiency of nutrient utilization to optimize livestock performance
                ","PhilipeMoriel"
"journal of animal science",2018,2,"ruminant","review","https://academic.oup.com/jas/article/96/2/752/4827738","RUMINNAT NUTRITION SYMPOSIUM: Tiny but mighty: the role of the rumen microbes in livestock production
                ","KristiMCammack"
"journal of dairy science",2018,2,"ruminant","review","https://www.sciencedirect.com/science/article/pii/S0022030217310664","Invited review: Practical feeding management recommendations to mitigate the risk of subacute ruminal acidosis in dairy cattle","E.Humer"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217311487","Dynamics of methanogenesis, ruminal fermentation, and alfalfa degradation during adaptation to monensin supplementation in goats","Z.J.Li"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217311037","Using video microscopy to improve quantitative estimates of protozoal motility and cell volume","B.A.Wenner"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217311116","Effects of straw processing and pen overstocking on the growth performance and sorting characteristics of diets offered to replacement Holstein dairy heifers","W.K.Coblentz"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217311189","Effects of supplementation with ruminally protected choline on performance of multiparous Holstein cows did not depend upon prepartum caloric intake","M.G.Zenobi"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217311050","Effects of rumen-degradable protein:rumen-undegradable protein ratio and corn processing on production performance, nitrogen efficiency, and feeding behavior of Holstein dairy cows","M.Savari"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217310950","Predicting nutrient digestibility in high-producing dairy cows","R.A.deSouza"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217311256","Plant oil supplements reduce methane emissions and improve milk fatty acid composition in dairy cows fed grass silage-based diets without affecting milk yield","A.R.Bayat"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217311621","Effects of magnesium source and monensin on nutrient digestibility and mineral balance in lactating dairy cows","A.W.Tebbe"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217310986","Predicting omasal flow of nonammonia N and milk protein yield from in vitro-determined utilizable crude protein at the duodenum","H.Gidlund"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217310998","Effects of replacement of late-harvested grass silage and barley with early-harvested silage on ruminal digestion efficiency in lactating dairy cows","E.H.Cabezas-Garcia"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217311323","Utilization of protein in red clover and alfalfa silages by lactating dairy cows and growing lambs","GlenA.Broderick"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217310767","Evaluation of carinata meal as a feedstuff for growing dairy heifers: Effects on growth performance, rumen fermentation, and total-tract digestibility of nutrients","K.Rodriguez-Hernandez"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S002203021731158X","Replacing maize silage plus soybean meal with red clover silage plus wheat in diets for lactating dairy cows","FranziskaSchulz"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217310858","Short communication: Decreasing the dietary ratio of n-6 to n-3 fatty acids increases the n-3 concentration of peripheral blood mononuclear cells in weaned Holstein heifer calves","L.C.Worden"
"journal of dairy science",2018,2,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217311499","Technical note: Near infrared reflectance spectroscopy to predict fecal indigestible neutral detergent fiber for dairy cows","N.Brogna"
"AJAS",2018,2,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23771","Characterization of culturable yeast species associating with whole crop corn and total mixed ration silage","HuiliWang"
"AJAS",2018,2,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23801","Tropical plant supplementation effects on the performance and parasite burden of goats","JuanJ.Romero"
"AJAS",2018,2,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23796","Effect of different levels of protein concentrates supplementation on the growth performance, plasma amino acids profile and mTOR cascade genes expression in early-weaned yak calves","Q.H.Peng"
"AJAS",2018,2,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23800","Influence of supplemental canola or soybean oil on milk yield, fatty acid profile and postpartum weight changes in grazing dairy goats","IsraelLerma-Reyes"
