"journal","year","month","class","type","URL","subject","first_author"
"livestock science",2017,11,"monogastric","review","http://www.sciencedirect.com/science/article/pii/S1871141317302858","Microalgae as feed ingredients for livestock production and meat quality: A review","MartaS.Madeiraa"
"livestock science",2017,11,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302676","Net energy levels of reduced crude protein, amino acid-supplemented diets for heavy pigs","CintiaFracaroli"
"livestock science",2017,11,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302688","The content of short chain fatty acids in the jejunal digesta, caecal digesta and faeces of growing pigs","M.Brestenskya"
"livestock science",2017,11,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302597","The effects of pre-transport supplementation with electrolytes and betaine on performance, carcass yield and meat quality of broilers in summer and winter","J.A.Downinga"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302937","Saccharomyces cerevisiae does not work synergistically with exogenous enzymes to enhance feed utilization, ruminal fermentation and lactational performance of Nubian goats","A.E.Kholifa"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302998","Effects of feeding sugar beets, ensiled with or without an additive, on the performance of dairy cows","AnneLouiseFrydendahlHellwinga"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302949","Methane emissions from non-lactating pregnant dairy cows while grazing","ConradP.Ferrisa"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302986","The use of near infrared spectroscopy to predict faecal indigestible and digestible fibre fractions in lactating dairy cattle","FedericoRighia"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303104","Milk fat response to calcium salts of palm or soybean in a normal or milk fat depression scenario in dairy ewes","M.Baldina"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302913","Dietary supplementation with Lonicera macranthoides leaf powder enhances growth performance and muscle growth of Chinese Tibetan pigs","Z.Y.Wanga"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303050","In ovo feeding of creatine pyruvate increases hatching weight, growth performance, and muscle growth but has no effect on meat quality in broiler chickens","M.M.Zhaoab"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302925","Effects of dry whey powder alone or combined with calcium butyrate on productive performance, duodenal morphometry, nutrient digestibility, and ceca bacteria counts of broiler chickens","C.Pineda-Quiroga"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303256","Dietary effects of plant extracts, based on verbascoside, lycopene and horseradish on several blood variables and plasma oxidative status in growing rabbits","D.Casamassimaa"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303268","Supplementation with live yeasts and essential oils does not alter blood, fecal and digestible parameters in horses","MayaraAngelaFagaPalagi"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303220","Different sources of calcium for starter pig diets","A.L.A.Santanaa"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303049","Effects of melengestrol acetate supplementation after fixed-timed artificial insemination on pregnancy rates of Bos indicus beef cows","W.M.CostaJuniora"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303098","Effect of floor cooling on late lactation sows under acute heat stress","F.A.Cabezona"
