"journal","year","month","class","type","URL","subject","first_author"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217310093","The effects of feeding a partial mixed ration plus a top-dress before feeding on milk production and the daily rhythm of feed intake and plasma hormones and metabolites in dairy cows","M.Niu"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217310081","Altering the ratio of dietary palmitic, stearic, and oleic acids in diets with or without whole cottonseed affects nutrient digestibility, energy partitioning, and production responses of dairy cows","J.deSouza"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S002203021730975X","Effects of supplementing yeast culture to diets differing in starch content on performance and feeding behavior of dairy cows","A.L.G.Dias"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309748","Effect of supplemental yeast culture and dietary starch content on rumen fermentation and digestion in dairy cows","A.L.G.Dias"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309852","Characterization of linoleic acid (C18:2) concentration in commercial corn silage and grain hybrids","M.Baldin"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S002203021730927X","Describing temporal variation in reticuloruminal pH using continuous monitoring data","M.J.Denwood"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309384","Effects of Leymus chinensis replacement with whole-crop wheat hay on blood parameters, fatty acid composition, and microbiomes of Holstein bulls","WenjingNiu"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309268","Dry matter intake, body condition score, and grazing behavior of nonlactating, pregnant dairy cows fed kale or grass once versus twice daily during winter","I.Rugoho"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309645","Effect of milk replacer feeding rate, age at weaning, and method of reducing milk replacer to weaning on digestion, performance, rumination, and activity in dairy calves to 4 months of age","T.S.Dennis"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S002203021730992X","Ruminal metabolism of grass silage soluble nitrogen fractions","S.Ahvenjarvi"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309906","Alterations in ruminal bacterial populations at induction and recovery from diet-induced milk fat depression in dairy cows","D.W.Pitta"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309943","Predicting milk protein responses and the requirement of metabolizable protein by lactating dairy cows","L.E.Moraes"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217310068","Effects of replacing soybean meal with canola meal or treated canola meal on ruminal digestion, omasal nutrient flow, and performance in lactating dairy cows","E.M.Paula"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309931","Meta-analysis to predict the effects of metabolizable amino acids on dairy cattle performance","I.J.Lean"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309360","Growth performance, rumen fermentation, nutrient utilization, and metabolic profile of dairy heifers limit-fed distillers dried grains with ad libitum forage","A.K.Manthey"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S002203021731007X","Effect of 2-hydroxy-4-(methylthio)butanoate (HMTBa) on risk of biohydrogenation-induced milk fat depression","M.Baldin"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217310044","Lowering rumen-degradable and rumen-undegradable protein improved amino acid metabolism and energy utilization in lactating dairy cows exposed to heat stress","J.D.Kaufman"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217310111","Short communication: The effects of morning compared with evening feed delivery in lactating dairy cows during the summer","M.Niu"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309621","Short communication: The effect of heat treatment of bovine colostrum on the concentration of oligosaccharides in colostrum and in the intestine of neonatal male Holstein calves","AmandaJ.Fischer"
"journal of dairy science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309402","Short communication: Effect of replacing corn with beet pulp in a high concentrate diet fed to weaned Holstein calves on diet digestibility and growth","T.S.Dennis"
"AJAS",2018,1,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23755","Supplementing Rhodobacter sphaeroides in the diet of lactating Holstein cows may naturally produce coenzyme Q10-enriched milk","Gui-SeckBae"
"AJAS",2018,1,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23714","Blood amino acids profile responding to heat stress in dairy cows","JiangGuo"
"AJAS",2018,1,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23907","Effect of Rhodophyta extracts on in vitro ruminal fermentation characteristics, methanogenesis and microbial populations","ShinJaLee"
"AJAS",2018,1,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23799","Isolation and characterization of a novel gossypol-degrading bacteria Bacillus subtilis strain Rumen Bacillus Subtilis","YunhuaZhang"
"AJAS",2018,1,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23908","Effects of Gelidium amansii extracts on in vitro ruminal fermentation characteristics, methanogenesis, and microbial populations","ShinJaLee"
"AJAS",2018,1,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23823","Effect of corn grain particle size on ruminal fermentation and blood metabolites of Holstein steers fed total mixed ration","DoHyungKim"
"AJAS",2018,1,"monogastric","original article","https://www.ajas.info/journal/view.php?number=23763","Effects of dietary supplementation with detoxified Rhus verniciflua sap on egg production, yolk lipid and intestinal microflora in laying hens","Byoung-KiAn"
"AJAS",2018,1,"monogastric","original article","https://www.ajas.info/journal/view.php?number=23825","Effects of feeding corn naturally contaminated with aflatoxin on growth performance, apparent ileal digestibility, serum hormones levels and gene expression of Na+, K+-ATPase in ducklings","FarzanaAbbasi"
"AJAS",2018,1,"monogastric","original article","https://www.ajas.info/journal/view.php?number=23856","Effects of processing, particle size and moisturizing of sorghum-based feeds on pellet quality and broiler production","PatrA¡©ciaGarciadaSilva"
"AJAS",2018,1,"monogastric","original article","https://www.ajas.info/journal/view.php?number=23759","Effects of dietary valine:lysine ratio on the performance, amino acid composition of tissues and mRNA expression of genes involved in branched-chain amino acid metabolism of weaned piglets","YeTongXu"
"AJAS",2018,1,"monogastric","original article","https://www.ajas.info/journal/view.php?number=23794","Effects of inclusion level and adaptation period on nutrient digestibility and digestible energy of wheat bran in growing-finishing pigs","JinbiaoZhao"
"livestock science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303372","Impact of breed on the rumen microbial community composition and methane emission of Holstein Friesian and Belgian Blue heifers","ThijsDeMuldera"
"livestock science",2018,1,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S187114131730255X","Energy and protein requirements for maintenance of Southern Yellow cattle fed a corn silage or straw-based diet","M.Weia"
"livestock science",2018,1,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302962","Effect of enzymatically hydrolyzed scallop visceral protein powder used as a replacement of fish meal on the growth performance, immune responses, intestinal microbiota and intestinal morphology of broiler chickens","R.E.Xingab"
"livestock science",2018,1,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303578","Effect of wheat as a feedstuff in starter diets on nursery pig growth performance and digestibility","D.J.Bloxham"
