"journal","year","month","class","type","URL","subject","first_author","X__1","google_translate"
"journal of dairy science",2017,12,"ruminant","review","http://www.sciencedirect.com/science/article/pii/S0022030217309037","Invited review: Sustainable forage and grain crop production for the US dairy industry","N.P.Martin",NA,"초청 검토 : 미국의 낙농 산업을위한 지속 가능한 사료 및 곡물 작물 생산"
"journal of dairy science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217308949","Physically adjusted neutral detergent fiber system for lactating dairy cow rations. I: Deriving equations that identify factors that influence effectiveness of fiber","RobinR.White",NA,"물리적으로 낙농 암소 배급 수유를 위해 중성 세제 섬유 시스템을 수정합니다. 나는 : 섬유의 효과에 영향을 미치는 요인을 파악 방정식을 도출"
"journal of dairy science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217308950","Physically adjusted neutral detergent fiber system for lactating dairy cow rations. II: Development of feeding recommendations","RobinR.White",NA,"물리적으로 낙농 암소 배급 수유를 위해 중성 세제 섬유 시스템을 수정합니다. II : 수유 권장 사항의 개발"
"journal of dairy science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217308809","The plasma free amino acid dose-response technique: A proposed methodology for determining lysine relative bioavailability of rumen-protected lysine supplements","N.L.Whitehouse",NA,"플라즈마 유리 아미노산 용량 반응 방식 : 반추위 보호 된 리신을 보충 리신의 상대적 생체 이용율을 결정하는 방법이 제안"
"journal of dairy science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217308925","Hydroxy-selenomethionine: A novel organic selenium source that improves antioxidant status and selenium concentrations in milk and plasma of mid-lactation dairy cows","P.Sun",NA,"하이드 록시 - 셀레 노 메티오닌 : 중간 수유 젖소의 우유 및 플라즈마 산화 상태 및 셀레늄 농도를 향상 신규 유기 셀레늄 공급원"
"journal of dairy science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S0022030217309219","Individual variation of the extent of milk fat depression in dairy ewes fed fish oil: Milk fatty acid profile and mRNA abundance of candidate genes involved in mammary lipogenesis","P.Frutos",NA,"우유 지방산 프로필과 유방 지방 형성에 관여하는 후보 유전자의 mRNA의 풍부한 : 생선 기름 공급 유제품 암양 우유 지방 우울증의 정도의 개인차"
"AJAS",2017,12,"monogastric","review","https://www.ajas.info/journal/view.php?number=23826","Current status and prospects for in-feed antibiotics in the different stages of pork production <U+2014> A review","JunyouLi",NA,"현재 상태와 돼지 고기 생산의 다른 단계에서의 공급 항생제 전망 <U + 2014> 검토"
"AJAS",2017,12,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23783","Effect of condensed tannins from Ficus infectoria and Psidium guajava leaf meal mixture on nutrient metabolism, methane emission and performance of lambs","A.K.Pathak",NA,"영양 대사 메탄 배출 및 양의 성능에 무화과 나무속 infectoria 및 구아바 잎 가루 혼합물에서 축합 탄닌의 효과"
"AJAS",2017,12,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23761","Effect of supplementary glycerin on milk composition and heat stability in dairy goats","DeelaThoh",NA,"유제품 염소 우유 조성물 및 열 안정성에 부가 글리세린 효과"
"AJAS",2017,12,"ruminant","original article","https://www.ajas.info/journal/view.php?number=23784","Dynamics of shearing force and its correlations with chemical compositions and in vitro dry matter digestibility of stylo (Stylosanthes guianensis) stem","XuejuanZi",NA,"전단력 역학 및 STYLO 체외 소화율 화학적 조성 및 그것의 상관 관계 (Stylosanthes의 guianensis) 줄기"
"AJAS",2017,12,"monogastric","original article","https://www.ajas.info/journal/view.php?number=23754","Oligosaccharides are a key factor in prediction of amino acid digestibility in soybean meal of different origins when fed to growing pigs","ZhongchaoLi",NA,"성장 돼지에 공급 될 때 올리고당은 서로 다른 기원의 대두박의 아미노산 소화율의 예측에 중요한 요소입니다"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302937","Saccharomyces cerevisiae does not work synergistically with exogenous enzymes to enhance feed utilization, ruminal fermentation and lactational performance of Nubian goats","A.E.Kholifa",NA,"사카 cerevisiae의 사료 활용, 반추위 발효와 누비아 염소의 lactational 성능을 향상시키기 위해 외인성 효소로 시너지 효과가 작동하지 않습니다"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302998","Effects of feeding sugar beets, ensiled with or without an additive, on the performance of dairy cows","AnneLouiseFrydendahlHellwinga",NA,"젖소의 성능 또는 첨가제없이 ensiled 공급 사탕무, 효과"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302949","Methane emissions from non-lactating pregnant dairy cows while grazing","ConradP.Ferrisa",NA,"비 수유 임신 한 젖소에서 메탄 배출 방목하면서"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302986","The use of near infrared spectroscopy to predict faecal indigestible and digestible fibre fractions in lactating dairy cattle","FedericoRighia",NA,"근적외선 분광법의 사용은 수유 젖소의 배설물 소화 및 소화 섬유 분수를 예측하는"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303104","Milk fat response to calcium salts of palm or soybean in a normal or milk fat depression scenario in dairy ewes","M.Baldina",NA,"유제품 암양의 정상 또는 우유 지방 우울증 시나리오에서 손바닥이나 콩의 칼슘 염에 우유 지방 응답"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302913","Dietary supplementation with Lonicera macranthoides leaf powder enhances growth performance and muscle growth of Chinese Tibetan pigs","Z.Y.Wanga",NA,"인동 macranthoides 잎 분말식이 보충 중국 티베트어 돼지의 성장 성능과 근육 성장을 강화"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303050","In ovo feeding of creatine pyruvate increases hatching weight, growth performance, and muscle growth but has no effect on meat quality in broiler chickens","M.M.Zhaoab",NA,"무게를 부화 크레아틴 피루브산 증가, 성장 성능 및 근육 성장 만의 비켜 공급에서 육계 닭 고기의 품질에 영향을주지 않습니다"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317302925","Effects of dry whey powder alone or combined with calcium butyrate on productive performance, duodenal morphometry, nutrient digestibility, and ceca bacteria counts of broiler chickens","C.Pineda-Quiroga",NA,"육계의 건조 유청 분말 단독 또는 칼슘 생산적인 성능에 부티레이트, 십이지장 형태 계측, 영양소 소화율 및 CECA과 결합의 효과 박테리아 카운트"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303256","Dietary effects of plant extracts, based on verbascoside, lycopene and horseradish on several blood variables and plasma oxidative status in growing rabbits","D.Casamassimaa",NA,"성장 토끼 몇 가지 혈액 변수와 플라즈마 산화 상태에 대한 verbascoside, 리코펜과 고추 냉이를 기반으로 식물 추출물의식이 효과,"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303268","Supplementation with live yeasts and essential oils does not alter blood, fecal and digestible parameters in horses","MayaraAngelaFagaPalagi",NA,"살아있는 효모 에센셜 오일로 보충 말 혈액, 분변 및 소화 매개 변수를 변경하지 않습니다"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303220","Different sources of calcium for starter pig diets","A.L.A.Santanaa",NA,"스타터 돼지 사료에 칼슘의 다른 소스"
"livestock science",2017,12,"ruminant","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303049","Effects of melengestrol acetate supplementation after fixed-timed artificial insemination on pregnancy rates of Bos indicus beef cows","W.M.CostaJuniora",NA,"보스 indicus 육우의 임신율 고정 타이밍 인공 수정 후 melengestrol 아세테이트 보충제의 효과"
"livestock science",2017,12,"monogastric","original article","http://www.sciencedirect.com/science/article/pii/S1871141317303098","Effect of floor cooling on late lactation sows under acute heat stress","F.A.Cabezona",NA,"급성 열 스트레스 늦은 수유 암퇘지 바닥에 냉각 효과"
"animal",2017,12,"general","review","https://www.cambridge.org/core/product/237B657E2F9A04A32E300DDE92DAF471","Opinion paper: Are we on the right track toward livestock sector sustainability?","I.Kohler-Rollefson",NA,"의견 용지 : 우리는 축산업의 지속 가능성을 향한 궤도에 있습니까?"
"animal",2017,12,"monogastric","original article","https://www.cambridge.org/core/product/05C62A1D1900FC479D7FA09EF35FE30C","Immune responses, intestinal microbiota, performance and blood characteristics of Japanese quail fed on diets containing camphor","A.Sedaghat",NA,"면역 반응, 장 미생물 일본 메추라기의 성능 및 혈액 특성은 장뇌가 포함 된 사료를 공급"
"animal",2017,12,"monogastric","original article","https://www.cambridge.org/core/product/6488CC1E7DDA4524B4B823176456E44D","The effect of dietary faba bean and non-starch polysaccharide degrading enzymes on the growth performance and gut physiology of young turkeys","D.Mikulski",NA,"젊은 칠면조의 성장 성능 및 장 생리에식이 파바 콩과 비 전분 다당류 분해 효소의 효과"
"animal",2017,12,"monogastric","original article","https://www.cambridge.org/core/product/4E9F1F44E21B84DB41F4B455627FE911","Dietary supplementation with a nucleotide-rich yeast extract modulates gut immune response and microflora in weaned pigs in response to a sanitary challenge","S.M.Waititu",NA,"핵산이 풍부한 효모 추출물과식이 보충 위생 도전에 대한 응답으로 이유자돈에서 장내 면역 반응과 미생물을 조절"
"animal",2017,12,"ruminant","original article","https://www.cambridge.org/core/product/E7B351A993E4CC7953EB645EA0A1C04D","Energy and protein requirements of Santa Ines lambs, a breed of hair sheep","E.S.Pereira",NA,"산타 이네스 양의 에너지와 단백질 요구 사항, 헤어 양의 품종"
"animal",2017,12,"ruminant","original article","https://www.cambridge.org/core/product/AE50AAE4EE28F2BC731B039E33C16360","Supplementing high-quality fresh forage to growing lambs fed a total mixed ration diet led to higher intake without altering nutrient utilization","A.Perez-Ruchel",NA,"성장 양에 고품질의 신선한 사료를 보충 영양소 이용률을 변경하지 않고 더 높은 섭취량을 주도 총 혼합 배급 다이어트를 공급"
"animal",2017,12,"ruminant","original article","https://www.cambridge.org/core/product/0CAD203DE104AD7D49B997863D7437CB","Supplementation of grazing beef cows during gestation as a strategy to improve skeletal muscle development of the offspring","D.C.Marquez",NA,"전략으로 임신 중 쇠고기 소를 방목의 보충은 자손의 골격 근육 발달을 향상시키기 위해"
"animal",2017,12,"ruminant","original article","https://www.cambridge.org/core/product/CCD30741185B903FBE2577182CA20501","Restoration of in situ fiber degradation and the role of fibrolytic microbes and ruminal pH in cows fed grain-rich diets transiently or continuously","P.Pourazad",NA,"현장 섬유 저하와 소에 fibrolytic 미생물 및 반추위 산도의 역할의 복원 일시적 또는 지속적으로 곡물이 풍부한 식단을 공급"
"animal",2017,12,"ruminant","original article","https://www.cambridge.org/core/product/09EE760DC9DC60824667D16128E84C71","Effect of feeding long or short wheat hay v. wheat silage in the ration of lactating cows on intake, milk production and digestibility","Y.Shaani",NA,"길거나 짧은 밀 건초 먹이 V의 효과. 섭취, 우유 생산과 소화성 젖소의 젖을 배급 밀 옥수"
"animal",2017,12,"ruminant","original article","https://www.cambridge.org/core/product/F7444DCBF8954FFA0ED466D1FB38E2D7","The effect of varying proportion and chop length of lucerne silage in a maize silage-based total mixed ration on diet digestibility and milk yield in dairy cattle","A.L.Thomson",NA,"젖소의 다이어트 소화 및 우유 생산에 옥수수 사일리지 기반 총 혼합 사료에 자주 개 사일리지의 비율 변화 및 절단 길이의 효과"
"animal",2017,12,"ruminant","original article","https://www.cambridge.org/core/product/758770BB19B65FB59AAF4E35E9CC1922","Jugular-infused methionine, lysine and branched-chain amino acids does not improve milk production in Holstein cows experiencing heat stress","K.R.Kassube",NA,"메티오닌, 라이신을 경정맥-주입 및 분지 사슬 아미노산은 열 스트레스를 경험 홀스타인 젖소의 우유 생산이 향상되지 않습니다"
"journal of animal science and biotechnology",2017,12,"monogastric","original article","https://link.springer.com/article/10.1186/s40104-017-0213-1","The effects of starter microbiota and the early life feeding of medium chain triglycerides on the gastric transcriptome profile of 2- or 3-week-old cesarean delivered piglets","Paolo Trevisi",NA,"스타터 미생물 및 2- 또는 3- 주령 제왕 전달 새끼 돼지의 위 사체 프로필에 중쇄 트리글리세리드의 초기 생명 공급하는 효과"
"journal of animal science and biotechnology",2017,12,"monogastric","original article","https://link.springer.com/article/10.1186/s40104-017-0212-2","Systematic analysis of feeding behaviors and their effects on feed efficiency in Pekin ducks","Feng Zhu",NA,"체계적인 먹이 행동의 분석 및 Pekin 오리입니다에서 사료 효율에 미치는 영향"
"journal of animal science and biotechnology",2017,12,"ruminant","review","https://link.springer.com/article/10.1186/s40104-017-0205-1","Impacts of prenatal nutrition on animal production and performance: a focus on growth and metabolic and endocrine function in sheep","Prabhat KhanalEmail author",NA,"동물의 생산 및 성능에 태아 영양의 영향 : 양 성장과 신진 대사 및 내분비 기능에 초점을"
"journal of animal science and biotechnology",2017,12,"ruminant","original article","https://link.springer.com/article/10.1186/s40104-017-0204-2","Negative effects of long-term feeding of high-grain diets to lactating goats on milk fat production and composition by regulating gene expression and DNA methylation in the mammary gland","Ping Tian",NA,"유선에서 유전자 발현 및 DNA 메틸화를 조절하여 우유 지방의 생산 및 구성에 수유 염소에 높은 곡물 사료의 장기 공급의 부정적 효과"
"journal of animal science and biotechnology",2017,12,"monogastric","original article","https://link.springer.com/article/10.1186/s40104-017-0200-6","Betaine affects muscle lipid metabolism via regulating the fatty acid uptake and oxidation in finishing pig","Sisi Li",NA,"베타가 마무리 돼지의 지방산 흡수 및 산화를 조절을 통해 근육 지질 대사에 영향을 미치는"
"journal of animal science and biotechnology",2017,12,"monogastric","original article","https://link.springer.com/article/10.1186/s40104-017-0198-9","Glucosamine supplementation during late gestation alters placental development and increases litter size","Jeffrey L. ValletEmail author",NA,"임신 후기 글루코사민 보충제는 태반 개발을 변경하고 쓰레기의 크기를 증가"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0377840117305941","The inclusion of low quantities of lipids in the diet of ruminants fed low quality forages has little effect on rumen function","D.F.A.Costaa",NA,"낮은 품질의 사료를 공급 반추 동물의 사료에 지질의 낮은 수량의 포함은 반추위의 기능에 거의 영향을 미치지"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S037784011630952X","Effects of caprylic acid and β-cyclodextrin complexes on digestibility, energy balance, and methane production in Korean Hanwoo heifers","BharanidharanRajaramanat",NA,"한국어 한우 암소에서 카 프릴 산 및 소화성에 β - 시클로 덱스트린 복합체, 에너지 균형 및 메탄 생산의 효과"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0377840117303322","Enteric methane emissions and protozoa populations in Holstein steers fed spent mushroom (Flammulina velutipes) substrate silage-based diets","K.T.Rangubheta",NA,"장내 메탄 배출 홀스타인 수송아지의 원생 동물 집단 버섯 (팽이의 velutipes) 기판 옥수 기반 사료를 먹인 소비"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0377840117302250","Effects of replacing dietary maize grains with increasing levels of sugar beet pulp on rumen fermentation constituents and performance of growing buffalo calves","H.M.Abo-Zeida",NA,"반추위에 사탕무 펄프의 증가 수준의 발효 성분과 성장 버팔로 송아지의 성능을식이 옥수수 곡물을 대체의 효과"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0377840117302638","Impact of Saccharomyces cerevisiae boulardii CNCMI-1079 and Lactobacillus acidophilus BT1386 on total lactobacilli population in the gastrointestinal tract and colon histomorphology of Holstein dairy calves","BridgetE.Fomenkyab",NA,"홀스타인 낙농 송아지의 위장관 및 대장 histomorphology 총 유산균 인구에 사카 cerevisiae의 boulardii에 CNCMI-1079 및 락토 바실러스 유산균 우유 BT1386의 영향"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S037784011630219X","Growth performance, nutrient digestibility, ruminal fermentation, and rumen development of calves during transition from liquid to solid feed: Effects of physical form of starter feed and forage provision","A.Pazokia",NA,"고체 공급 액체에서 전환시 성장 성능, 영양소 소화율, 반추위 발효 및 송아지의 반추위 개발 : 스타터 사료 및 사료 공급의 물리적 인 형태의 효과"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0377840117303437","Transcriptome profiling and functional analysis of sheep fed with high zinc-supplemented diet: A nutrigenomic approach","R.Elgendya",NA,"사체 프로파일 링과 높은 아연 보충 다이어트와 공급 양의 기능 분석, ? 영양 유전체학 접근 방식"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0377840117304133","Effects of dietary pomegranate pulp silage supplementation on milk yield and composition, milk fatty acid profile and blood plasma antioxidant status of lactating dairy cows","Β.Kotsampasiar",NA,"수유 젖소의 우유 생산량 및 조성물, 우유 지방산 프로필과 혈장 항산화 상태에식이 석류 펄프 사료 보충제의 효과"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0377840117310556","The effect of dried apple pomace as a replacer for maize in the concentrate for Jersey cows grazing ryegrass pasture on production and rumen metabolism","L.Steyna",NA,"생산 반추위 대사에 라이 그라스 목초지 방목 저지 젖소 농축 옥수수에 대한 대체물로서 건조 사과 찌꺼기의 영향"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0377840117307915","NA","NA",NA,"NA"
"animal feed science and technology",2017,12,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0377840117305382","Comparison of microalgae and rapeseed meal as supplementary protein in the grass silage based nutrition of dairy cows","M.Lamminen",NA,"젖소의 잔디 사일리지를 기반으로 영양 보충 단백질과 같은 미세 조류 유채 식사의 비교"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117305072","Changes in broiler performance, duodenal histomorphometry, and caeca microbiota composition in response to wheat-barley based diets supplemented with non-antibiotic additives","CarolinaPineda-Quirogaa",NA,"비 항균 첨가제를 첨가 밀 - 보리 기재 규정에 응답하여 육계 성능 십이지장 조직 형태 및 caeca 미생물의 조성 변화"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117303346","Concentration of metabolizable energy and digestibility of amino acids in Chinese produced dehulled double-low rapeseed expellers and non-dehulled double-low rapeseed co-products fed to growing-finishing pigs","P.L.Lia",NA,"대사 에너지와 중국에서 아미노산의 소화율의 농도가 증가-마무리 돼지에 공급 거피 이중 저 유채 expellers 및 비 거피 이중 저 유채 공동 제품 생산"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117310647","Age and dietary xylanase supplementation affects ileal sugar residues and short chain fatty acid concentration in the ileum and caecum of broiler chickens","S.A.Leea",NA,"연령 및 크 실라 아제의식이 보충 회장 당 잔기 및 회장에서 단쇄 지방산 농도 육계 맹장 영향을"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117306867","Digestibility and intestinal fermentability of canola meal from Brassica juncea and Brassica napus fed to ileal-cannulated grower pigs","M.H.A.Lea",NA,"소화 및 회장 - 유관 재배자 돼지에 공급 브라 시카 사건과 브라 시카 napus에서 캐놀라 식사의 장내 발효가"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117306880","Nitrogen-corrected apparent metabolizable energy value of macadamia nut cake for broiler chickens determined by difference and regression methods","JulioD.Berrocoso",NA,"차이 회귀 방법에 의해 결정 육계 용 마카다미아 케이크 질소 보정 겉보기 대사 에너지 값"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117305898","Effect of increasing Buttiauxella phytase dose on nutrient digestibility and performance in weaned piglets fed corn or wheat based diets","Y.Dersjant-Lia",NA,"투약 공급 새끼 돼지에서 밀 또는 옥수수 사료를 기반 Buttiauxella 피타 영양소 소화성에 용량과 성능을 증가시키는 효과"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S037784011730723X","Effects of dietary protein levels and multienzyme supplementation on growth performance and markers of gut health of broilers fed a miscellaneous meal based diet","N.Liua",NA,"식이 단백질 수준과 성장 성능에 multienzyme 보충 및 육계의 장 건강의 마커의 효과는 기타 식사 식단을 공급"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117309380","Effects of alginate oligosaccharide on the growth performance, antioxidant capacity and intestinal digestion-absorption function in weaned pigs","JinWan",NA,"이유자돈의 성장 성과에 알긴 올리고당, 항산화 장내 소화 흡수 기능의 효과"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117308131","Effects of phytase inclusions in diets containing ground wheat or 12.5% whole wheat (pre- and post-pellet) and phytase and protease additions, individually and in combination, to diets containing 12.5% pre-pellet whole wheat on the performance of broiler chickens","AmyF.Mossa",NA,"육계의 성능에 12.5 % 미리 펠릿 통밀을 함유하는 식단을 분쇄 된 밀 12.5 % 통밀 (전후 펠릿) 및 피타 아제와 프로테아제 부가 개별적으로 또는 조합을 포함하는 사료에 피타 아제 개재물의 영향"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117310192","Synergetic effects of essential oils mixture improved egg quality traits, oxidative stability and liver health indices in laying hens fed fish oil","A.Mousavia",NA,"암탉에게 먹이 생선 기름 누워있는 에센셜 오일 혼합물 개선 된 계란의 품질 특성, 산화 안정성 및 간 건강 지표의 시너지 효과"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117302614","Effect of dietary β-glucan supplementation on growth performance, carcass characteristics and gut morphology in broiler chicks fed diets containing different theronine levels","F.Kazempourai",NA,"육계 성장 성능 커스 특성 및 장 형태에 β 글루칸식이 보충제의 효과는 다른 트레오닌 수준을 포함하는식이를 공급"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117307484","Nutrient digestibility of chickpea in ileal-cannulated finisher pigs and diet nutrient digestibility and growth performance in weaned pigs fed chickpea-based diets","L.F.Wanga",NA,"회장 - 유관 피니셔의 돼지와 다이어트 영양소 소화율 및 이유자돈 공급 병아리 콩 기반 다이어트의 성장 성능 병아리 콩의 영양소 소화율"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117307149","Effects of fat sources in sow on the fatty acid profiles and fat globule size of milk and immunoglobulins of sows and piglets","Y.S.Bai",NA,"모돈과 자돈의 우유의 지방산 프로필 및 지방 소구 크기 모돈의 지방 소스의 효과 및 면역 글로불린"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117308532","Prediction of the digestibility and energy contents of non-conventional by-products for pigs from their chemical composition and in vitro digestibility","C.Sol",NA,"의 소화율 및 에너지 내용의 예측 그들의 화학 성분에서 돼지 부산물 및 체외 소화 비 재래식"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S037784011630534X","Effects of yellow mealworm larvae (Tenebrio molitor) inclusion in diets for female broiler chickens: implications for animal health and gut histology","I.Biasatoa",NA,"동물의 건강과 장내 조직학에 대한 영향 : 노란색 갈색 거저리 유충 (Tenebrio 거저리) 여성 육계를위한 식단에 포함 미치는 영향"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117308039","The effect of raw material combination on the nutritional composition and stability of four types of autolyzed fish silage","M.van’tLandab",NA,"자기 분해 물고기 사료 네 가지의 영양 성분 및 안정성에 원료 조합의 효과"
"animal feed science and technology",2017,12,"monogastric","original article","https://www.sciencedirect.com/science/article/pii/S0377840117300834","The effects of dietary supplementation with α-ketoglutarate on the intestinal microbiota, metabolic profiles, and ammonia levels in growing pigs","JiashunChenabc""",NA,"성장 돼지의 장내 미생물에 α-케 토글 루타 레이트, 신진 대사 프로필 및 암모니아 수치가식이 보충제의 효과"
"animal feed science and technology",2017,12,"general","original article","https://www.sciencedirect.com/science/article/pii/S0377840116311452","Optimization of single screw extrusion process for producing fish feeds based on vegetable meals and evaluation of nutritional effects using a juvenile Piaractus mesopotamicus model","RaulE.Ciana",NA,"물고기를 생산하는 단일 스크류 압출 공정의 최적화는 청소년 Piaractus의 mesopotamicus 모델을 사용하여 야채 식사와 영양 효과의 평가에 따라 피드"
